name,id,location,distance_to_center,rating,review_text,review_count,price,features,image_urls
Just Inn Hotel,479070,"Sirkeci, Fatih, İstanbul",Merkeze 1 km,8.5,Müthiş,(20 yorum),2.165 TL,"Kahvaltı Dahil, Toplantı Odaları, Wi-Fi, Deniz Manzarası, Restoran, Hamam","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290610630000/2/1/8462/just_inn_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/267256/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/267257/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/267258/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/267259/ob.jpg?width=552&height=392&mode=crop&anchor=center"
West Pera Hotel,104686,"İstiklal, Beyoğlu, İstanbul",Merkeze 1.1 km,8.2,Çok iyi,(5 yorum),5.375 TL,"Otopark, Wi-Fi, Resepsiyon","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952291611070000/2/1/9127/gumusyan_otel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/139771/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/139772/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/139773/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/139774/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Taksim Terrapia Hotel,804692,"Beyoğlu, İstanbul",Merkeze 1.3 km,8.6,Müthiş,(13 yorum),2.583 TL,"Kahvaltı Dahil, Wi-Fi, Deniz Kıyısı, Restoran, Teras, Resepsiyon","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293800770000/2/1/10544/taksim_terrace_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/581823/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/581824/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/581825/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/581826/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Tempo Fair Suites,479329,"Bahçelievler, İstanbul",Mükemmel Konum,8.5,Müthiş,(31 yorum),2.102 TL,"Wi-Fi, Restoran","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292995870000/2/1/9935/tempo_fair_suites.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/272263/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/272264/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/272265/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/272266/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Lika Hotel,1130861,"Sultanahmet, Fatih, İstanbul",Merkeze 1 km,8.3,Çok iyi,(4 yorum),1.854 TL,Wi-Fi,"https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293792630000/2/1/10493/lika_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/158263/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/158264/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/158267/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/158265/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Ramada by Wyndham İstanbul Alibeyköy,788947,"Eyüpsultan, İstanbul",Merkeze 5.4 km,8.6,Müthiş,(116 yorum),3.573 TL,"Otopark, Spa, Toplantı Odaları, Wi-Fi, Hamam, Restoran","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294072770000/2/1/10658/ramada_by_wyndham_istanbul_alibeykoy.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/228885/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/228886/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/228909/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/228911/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Grand As Hotel,106616,"Kadıköy, İstanbul",Merkeze 4.5 km,7.5,İyi,(139 yorum),2.250 TL,"Otopark, Toplantı Odaları, Restoran, Teras, Resepsiyon, Engelli Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290484030000/2/1/8366/grand_as_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/157329/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/157330/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/157331/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/157332/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Ramada by Wyndham İstanbul Old City,102966,"Fındıkzade, Fatih, İstanbul",Merkeze 2.1 km,7.2,Normal,(28 yorum),2.559 TL,"Otopark, Spa, Toplantı Odaları, Çalışma Alanları, Wi-Fi, Jakuzi","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292325400000/2/1/9237/ramada_by_wyndham_istanbul_old_city.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/110662/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/110663/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/110664/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/110665/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Dora Pera Hotel,1381336,"Galata, Beyoğlu, İstanbul",Merkeze 1.3 km,8.4,Çok iyi,(17 yorum),4.415 TL,"Kahvaltı Dahil, Spa, Wi-Fi, Restoran, Masaj, Resepsiyon","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637910590951970000/2/1/56/dora_pera_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/234388/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/234389/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/234390/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/234391/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Güneş Hotel Merter,478863,"Merter, Güngören, İstanbul",Merkeze 6.1 km,8.6,Müthiş,(19 yorum),3.604 TL,"Otopark, Toplantı Odaları, Wi-Fi, Restoran, Masaj, Şehir Manzarası","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293673430000/2/1/10208/gunes_hotel_merter.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/319149/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/319150/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/319151/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/319152/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Weingart Istanbul,1342564,"Karaköy, Beyoğlu, İstanbul",Merkeze 1.5 km,8.4,Çok iyi,(15 yorum),3.259 TL,"Otopark, Wi-Fi, Resepsiyon, Engelli Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294261470000/2/1/10958/weingart_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/229696/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/229697/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/229698/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/229699/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Ottoman's Life Hotel Deluxe İstanbul,884538,"Fındıkzade, Fatih, İstanbul",Merkeze 2 km,8.1,Çok iyi,(10 yorum),5.318 TL,"Otopark, Havuz, Spa, Toplantı Odaları, Wi-Fi, Hamam","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293780800000/2/1/10418/ottoman_s_life_hotel_deluxe_istanbul.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/252676/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/252695/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/252696/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/252697/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Grand Hotel de Pera,478275,"Beyoğlu, İstanbul",Merkeze 1 km,8.0,Çok iyi,(22 yorum),4.415 TL,"Kahvaltı Dahil, Otopark, Havuz, Spa, Toplantı Odaları, Wi-Fi","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290597900000/2/1/8453/grand_hotel_de_pera.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/247025/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/247026/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/247027/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/247028/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Aram Otel Business & Luxury,1437275,"Kartal, İstanbul",N/A,8.1,Çok iyi,(42 yorum),2.288 TL,"Otopark, Wi-Fi, Restoran","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638246074191900000/2/1/28091/aram_otel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/560902/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/560903/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/560904/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/560905/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Serenity Comfort Hotel,1386366,"Bağcılar, İstanbul",N/A,8.1,Çok iyi,(47 yorum),5.000 TL,"Havuz, Spa, Restoran, Hamam, Masaj, Fitness","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294281730000/2/1/11084/qua_comfort_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/15251/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/15252/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/15253/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/15256/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Zin D Home Otel Dudullu,1106272,"Ümraniye, İstanbul",Merkeze 7.6 km,7.9,İyi,(164 yorum),1.482 TL,"Otopark, Havuz, Toplantı Odaları, Wi-Fi, Restoran, Isıtmalı Havuz","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293791870000/2/1/10488/zin_d_home_dudullu_suits.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/395641/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/395642/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/395643/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/395644/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Jaff Hotels Nişantaşı,1386364,"Nişantaşı, Şişli, İstanbul",Merkeze 800 m,7.5,İyi,(12 yorum),3.270 TL,"Spa, Toplantı Odaları, Wi-Fi, Jakuzi, Restoran, Masaj","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294281570000/2/1/11083/jaff_hotels_nisantasi.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/235145/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/235146/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/235147/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/235148/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Pera Arya Hotel,104412,"Taksim, Beyoğlu, İstanbul",Merkeze 1.1 km,6.6,Misafir Puanı,(19 yorum),2.088 TL,"Otopark, Wi-Fi, Restoran, Resepsiyon","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293492300000/2/1/10137/pera_arya_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/132189/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/132190/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/132191/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/132192/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Avantgarde Urban Taksim,102809,"Taksim, Beyoğlu, İstanbul",Merkeze 300 m,8.2,Çok iyi,(8 yorum),4.675 TL,"Otopark, Havuz, Toplantı Odaları, Wi-Fi, Hamam, Restoran","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293896130000/2/1/10569/avantgarde_taksim_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/16618/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/16619/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/16620/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/16621/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Sürmeli Hotel İstanbul,101335,"Gayrettepe, Beşiktaş, İstanbul",Merkeze 2.6 km,7.3,Normal,(47 yorum),5.348 TL,"Otopark, Spa, Toplantı Odaları, Wi-Fi, Restoran, Hamam","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952289130700000/2/1/7293/surmeli_hotel_istanbul.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/122791/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/122792/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/122793/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/122794/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Gorrion Hotel,478195,"Yenibosna, Bahçelievler, İstanbul",N/A,8.3,Çok iyi,(21 yorum),4.578 TL,"Otopark, Havuz, Spa, Toplantı Odaları, Wi-Fi, Hamam","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293622030000/2/1/10153/gorrion_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/239533/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/239534/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/239535/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/239536/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Marnas Hotels,479150,"Bayrampaşa, İstanbul",Merkeze 5.1 km,8.4,Çok iyi,(17 yorum),2.724 TL,"Kahvaltı Dahil, Otopark, Spa, Toplantı Odaları, Wi-Fi, Jakuzi","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290399570000/2/1/8184/marnas_hotels.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/104554/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/104556/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/104557/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/104555/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Alrazi Hotel,506706,"Sefaköy, Küçükçekmece, İstanbul",N/A,8.2,Çok iyi,(12 yorum),3.561 TL,"Kahvaltı Dahil, Otopark, Havuz, Spa, Wi-Fi, Jakuzi","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290756700000/2/1/8963/alrazi_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/275225/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/275226/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/275227/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/275228/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Vois Hotel Ataşehir & Spa,634718,"Kayışdağı, Ataşehir, İstanbul",Merkeze 5.1 km,8.0,Çok iyi,(176 yorum),1.999 TL,"Otopark, Toplantı Odaları, Wi-Fi, Restoran, Resepsiyon, Engelli Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290682700000/2/1/8587/vois_hotel_atasehir.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/141525/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/141535/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/141518/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/141507/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Grand Cevahir Hotel Convention Center,102334,"Şişli, İstanbul",Merkeze 2.8 km,8.3,Çok iyi,(23 yorum),5.632 TL,"Otopark, Havuz, Spa, Toplantı Odaları, Wi-Fi, Restoran","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952289395230000/2/1/7310/grand_cevahir_hotel_convention_center.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/106071/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/106072/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/106073/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/106074/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Nostalji Butik Otel,1431627,"Ağva, Şile, İstanbul",Mükemmel Konum,8.5,Müthiş,(21 yorum),2.400 TL,"Wi-Fi, Jakuzi","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638113052746370000/2/1/25757/nostalji_butik_otel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/548131/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/548132/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/548133/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/548134/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Rise Inn Hotel,1509125,"Ataşehir, İstanbul",Merkeze 2.6 km,8.5,Müthiş,(8 yorum),3.517 TL,Wi-Fi,"https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638640627002270000/2/1/39877/rise_inn_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/580324/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/580326/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/580325/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/580333/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Hotel Queens Land,1106110,"Sultanahmet, Fatih, İstanbul",Merkeze 800 m,7.8,İyi,(20 yorum),2.728 TL,"Kahvaltı Dahil, Otopark, Wi-Fi, Resepsiyon, Engelli Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292687130000/2/1/9819/queensland_hotel_istanbul.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/177432/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/177433/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/177434/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/177435/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Corinne Hotel,105328,"Çukurcuma, Beyoğlu, İstanbul",Merkeze 500 m,8.5,Müthiş,(39 yorum),4.536 TL,"Otopark, Wi-Fi, Restoran, Teras, Resepsiyon, Engelli Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952291658670000/2/1/9171/corinne.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/142871/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/142872/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/142873/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/142874/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Levent Lavandula Hotel,1315691,"Kağıthane, İstanbul",Merkeze 3.8 km,7.4,Normal,(45 yorum),3.420 TL,"Kahvaltı Dahil, Wi-Fi, Resepsiyon","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294227870000/2/1/10750/levent_lavandula_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/533220/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/533221/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/533222/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/533223/ob.jpg?width=552&height=392&mode=crop&anchor=center"
