,Alkollü içecekler ve tütün,Ev eşyası,Eğitim,Eğlence ve kültür,Giyim ve ayakkabı,Gıda ve alkolsüz içecekler,Haberleşme,Konut,Lokanta ve oteller,Sağlık,Ulaştırma,Çeşitli mal ve hizmetler,TÜFE
2025-03-21,111.15844789133696,111.37805116818755,117.87109682952963,105.90291851676965,111.50929668684972,111.12262833174888,97.04185815408216,112.31639648987424,107.60612692079576,122.3764659665578,104.48081352703684,113.57712374135164,109.92812335075196
2025-03-22,111.15844789133696,111.35489044190884,117.87109682952963,105.94145579579806,111.60416490424208,110.95774929350448,96.97775471907671,112.35230211725592,107.55120066308343,122.3764659665578,104.47542223462752,113.48381722769916,109.88240882614232
2025-03-23,111.15844789133696,111.31834020033467,117.87109682952963,105.93972080789618,111.66569194668742,110.94771688473448,96.92654701094244,112.33206196761094,107.30199545640822,122.3764659665578,104.48823985996071,113.41279143194436,109.85347766974756
2025-03-24,111.15844789133696,111.32973743408184,117.87109682952963,106.02607761736142,111.86770321794047,111.01419707042814,96.48234804288748,112.3880646373526,107.29840313896064,122.3764659665578,104.4827244260421,114.0091414984733,109.90377412075992
2025-03-25,111.15844789133696,111.21663946475974,117.87109682952963,106.16263650031011,112.08976323051084,111.10016630119712,96.55525450056592,112.55328757381406,108.52117649343334,122.3764659665578,104.74904809125974,113.93470981042242,110.10891744472303
2025-03-26,111.15844789133696,111.23359743030886,117.87109682952963,106.10206461660069,112.10068178925304,111.50739070563748,95.07952486225898,112.58924019332684,108.50449617340728,122.3764659665578,105.1671108643286,113.8238493589904,110.2236062917021
2025-03-27,111.15844789133696,111.22108959998508,117.87109682952963,106.06471602376602,112.11926714248489,111.4806708686107,95.11287680960152,112.70317482667448,108.5396252606331,122.3764659665578,105.1137201119588,113.22024542065444,110.20892590134449
2025-03-28,111.15844789133696,111.14657840726296,117.87109682952963,105.99794702551397,112.13287336506956,111.56027597975572,95.12050486038396,112.83929995895866,108.7371170949576,122.3764659665578,105.11203877918364,113.1853983989763,110.26294555681466
2025-03-29,111.15844789133696,111.0660686435004,117.87109682952963,105.88974837222192,112.12516455069957,111.83269952819457,95.13246781873085,112.94223226851534,109.11369855983057,122.3764659665578,105.29949831463448,113.28380148308126,110.40914549113502
2025-03-30,111.15844789133696,111.0660686435004,117.87109682952963,105.88974837222192,112.12516455069957,111.83269952819457,95.13246781873085,112.94223226851534,109.11369855983057,122.3764659665578,105.29949831463448,113.28380148308126,110.40914549113502
2025-03-31,111.15844789133696,111.0660686435004,117.87109682952963,105.88974837222192,112.12516455069957,111.83269952819457,95.13246781873085,112.94223226851534,109.11369855983057,122.3764659665578,105.29949831463448,113.28380148308126,110.40914549113502
2025-04-01,111.15844789133696,111.52626360942006,117.87109682952963,106.1848299699477,112.68647106841132,111.93846722267804,95.24985047195544,113.13868750238134,109.5898617960612,122.3764659665578,106.12437745199752,113.67786129704984,110.73062328723626
2025-04-02,111.15844789133696,111.59010763666082,117.87109682952963,106.3801346013658,112.70272312083335,112.10309347748688,95.25682087882905,113.23689482924595,109.64338965967416,122.3764659665578,106.129678037758,113.81733943228691,110.81413483676344
