Ürün,Grup,Kod,Ağırlık,Ana Grup
Deodorant,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
Hijyenik Kadın Bağı,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
Kolonya,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
Sabun,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
Araba Kiralama Ücreti,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),07240,0.0019119613974208152,Ulaştırma
Sürücü Eğitim Kurs Ücreti,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),07240,0.0019119613974208152,Ulaştırma
Otopark Ücreti,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),07240,0.0019119613974208152,Ulaştırma
Otoban Geçiş Ücreti,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),07240,0.0019119613974208152,Ulaştırma
Köprü Geçiş Ücreti,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),07240,0.0019119613974208152,Ulaştırma
Benzin,"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",07220,0.03741236624734097,Ulaştırma
Motorin,"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",07220,0.03741236624734097,Ulaştırma
Motor Yağları,"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",07220,0.03741236624734097,Ulaştırma
LPG (Araba Tüpü Dolum)  Ücreti,"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",07220,0.03741236624734097,Ulaştırma
Soba,Klima ve ısıtıcılar,05314,0.0036511664021219737,Ev eşyası
Davlumbaz,Klima ve ısıtıcılar,05314,0.0036511664021219737,Ev eşyası
Klima,Klima ve ısıtıcılar,05314,0.0036511664021219737,Ev eşyası
Kombi,Klima ve ısıtıcılar,05314,0.0036511664021219737,Ev eşyası
Konserve Balık,Konserve edilmiş veya işlenmiş balık,01133,0.0003050817448517491,Gıda ve alkolsüz içecekler
Turşu,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",01175,0.008761766356820038,Gıda ve alkolsüz içecekler
Konserveler,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",01175,0.008761766356820038,Gıda ve alkolsüz içecekler
Cipsler,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",01175,0.008761766356820038,Gıda ve alkolsüz içecekler
Salça,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",01175,0.008761766356820038,Gıda ve alkolsüz içecekler
Zeytin,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",01175,0.008761766356820038,Gıda ve alkolsüz içecekler
Yer ve Duvar Döşemesi,Konutun bakım ve onarımı için malzemeler,04310,0.0162395500649803,Konut
Badana ve Boya Malzemeleri,Konutun bakım ve onarımı için malzemeler,04310,0.0162395500649803,Konut
Nohut,Kuru baklagiller,01174,0.0027873638536346475,Gıda ve alkolsüz içecekler
Mercimek,Kuru baklagiller,01174,0.0027873638536346475,Gıda ve alkolsüz içecekler
Kuru Fasulye,Kuru baklagiller,01174,0.0027873638536346475,Gıda ve alkolsüz içecekler
Leblebi,Kuru meyve ve sert kabuklu yemişler,01162,0.007956011080762698,Gıda ve alkolsüz içecekler
Ceviz İçi,Kuru meyve ve sert kabuklu yemişler,01162,0.007956011080762698,Gıda ve alkolsüz içecekler
Yer Fıstığı,Kuru meyve ve sert kabuklu yemişler,01162,0.007956011080762698,Gıda ve alkolsüz içecekler
Ay Çekirdeği,Kuru meyve ve sert kabuklu yemişler,01162,0.007956011080762698,Gıda ve alkolsüz içecekler
Antep Fıstığı,Kuru meyve ve sert kabuklu yemişler,01162,0.007956011080762698,Gıda ve alkolsüz içecekler
Fındık İçi,Kuru meyve ve sert kabuklu yemişler,01162,0.007956011080762698,Gıda ve alkolsüz içecekler
Kabak Çekirdeği,Kuru meyve ve sert kabuklu yemişler,01162,0.007956011080762698,Gıda ve alkolsüz içecekler
Kuru Üzüm,Kuru meyve ve sert kabuklu yemişler,01162,0.007956011080762698,Gıda ve alkolsüz içecekler
