title,price,square_meter,room_count,building_age,floor_type,url,page_number,listing_index
Başlık Bulunamadı,"2.000
TL",120 m²,1 + 1,1 Yaşında,1. Kat,https://www.hepsiemlak.com/ankara-cankaya-camlitepe-kiralik/daire/101007-53,4,13
Başlık Bulunamadı,"51.000
TL",145 m²,3 + 1,30 Yaşında,En Üst Kat,https://www.hepsiemlak.com/istanbul-beykoz-anadolu-hisari-kiralik/daire/70850-2820,4,14
Başlık Bulunamadı,"17.500
TL",85 m²,1 + 1,6 Yaşında,Yüksek Giriş,https://www.hepsiemlak.com/balikesir-bandirma-pasabayir-kiralik/daire/114414-2526,4,15
Başlık Bulunamadı,"14.000
TL",100 m²,2 + 1,10 Yaşında,1. Kat,https://www.hepsiemlak.com/tekirdag-corlu-resadiye-kiralik/daire/62835-225,4,16
Başlık Bulunamadı,"18.000
TL",85 m²,2 + 1,6 Yaşında,4. Kat,https://www.hepsiemlak.com/tekirdag-corlu-kemalettin-kiralik/daire/62835-228,4,17
Başlık Bulunamadı,"110.000
TL",160 m²,3 + 1,Sıfır Bina,Çatı Katı,https://www.hepsiemlak.com/istanbul-uskudar-acibadem-kiralik/daire/7350-10173,4,18
Başlık Bulunamadı,"30.000
TL",80 m²,2 + 0,35 Yaşında,Yüksek Giriş,https://www.hepsiemlak.com/ankara-cankaya-yukari-bahcelievler-kiralik/daire/3584-28670,4,19
Başlık Bulunamadı,"16.000
TL",150 m²,3 + 1,26 Yaşında,3. Kat,https://www.hepsiemlak.com/antalya-kepez-varsak-karsiyaka-kiralik/daire/141314-239,4,20
Başlık Bulunamadı,"25.000
TL",85 m²,2 + 1,7 Yaşında,3. Kat,https://www.hepsiemlak.com/izmir-buca-akincilar-kiralik/daire/110036-590,4,21
Başlık Bulunamadı,"500.000
TL",400 m²,4 + 1,Sıfır Bina,6. Kat,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56636,4,22
Başlık Bulunamadı,"150.000
TL",90 m²,1 + 1,Sıfır Bina,8. Kat,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56694,4,23
Başlık Bulunamadı,"350.000
TL",360 m²,5 + 2,6 Yaşında,4. Kat,https://www.hepsiemlak.com/istanbul-kadikoy-caddebostan-kiralik/daire/8525-56710,4,24
Başlık Bulunamadı,"150.000
TL",87 m²,1 + 1,Sıfır Bina,Kot 1,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56664,5,1
Başlık Bulunamadı,"400.000
TL",350 m²,2 + 1,Sıfır Bina,Bahçe Katı,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56658,5,2
Başlık Bulunamadı,"300.000
TL",234 m²,3 + 1,Sıfır Bina,5. Kat,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56635,5,3
Başlık Bulunamadı,"235.000
TL",109 m²,2 + 1,Sıfır Bina,2. Kat,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56674,5,4
Başlık Bulunamadı,"150.000
TL",70 m²,1 + 1,1 Yaşında,Zemin,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56668,5,5
Başlık Bulunamadı,"150.000
TL",116 m²,2 + 1,Sıfır Bina,3. Kat,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56644,5,6
Başlık Bulunamadı,"150.000
TL",97 m²,1 + 1,Sıfır Bina,2. Kat,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56675,5,7
Başlık Bulunamadı,"325.000
TL",221 m²,2 + 1,Sıfır Bina,3. Kat,https://www.hepsiemlak.com/istanbul-besiktas-balmumcu-kiralik/residence/8525-56768,5,8
Başlık Bulunamadı,"450.000
TL",282 m²,3 + 1,Sıfır Bina,7. Kat,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56671,5,9
Başlık Bulunamadı,"550.000
TL",366 m²,4 + 1,Sıfır Bina,3. Kat,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56665,5,10
Başlık Bulunamadı,"29.500
TL",65 m²,1 + 1,5 Yaşında,5. Kat,https://www.hepsiemlak.com/izmir-bornova-erzene-kiralik/daire/60930-2829,5,11
Başlık Bulunamadı,"50.000
TL",47 m²,1 + 1,1 Yaşında,2. Kat,https://www.hepsiemlak.com/istanbul-besiktas-levent-kiralik/daire/137955-31,5,12
Başlık Bulunamadı,"15.000
TL",145 m²,3 + 1,25 Yaşında,Yüksek Giriş,https://www.hepsiemlak.com/bolu-merkez-tabaklar-kiralik/daire/117659-562,5,13
Başlık Bulunamadı,"18.000
TL",190 m²,3 + 2,5 Yaşında,5. Kat,https://www.hepsiemlak.com/istanbul-esenyurt-battalgazi-kiralik/daire/152579-78,5,14
Başlık Bulunamadı,"20.000
TL",105 m²,2 + 1,11 Yaşında,9. Kat,https://www.hepsiemlak.com/istanbul-esenyurt-aksemseddin-kiralik/daire/152579-19,5,15
Başlık Bulunamadı,"120.000
TL",115 m²,1 + 1,10 Yaşında,7. Kat,https://www.hepsiemlak.com/istanbul-sisli-esentepe-kiralik/residence/98015-2183,5,16
Başlık Bulunamadı,"52.000
TL",150 m²,4 + 0,25 Yaşında,,https://www.hepsiemlak.com/ankara-cankaya-mustafa-kemal-kiralik/villa/68617-284,5,17
Başlık Bulunamadı,"24.000
TL",145 m²,3 + 1,5 Yaşında,2. Kat,https://www.hepsiemlak.com/burdur-merkez-sirinevler-kiralik/daire/130603-535,5,18
Başlık Bulunamadı,"19.997
TL",80 m²,1 + 1,10 Yaşında,Ara Kat,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-kiralik/daire/137998-122,5,19
Başlık Bulunamadı,"50.000
TL",65 m²,2 + 1,25 Yaşında,Bahçe Katı,https://www.hepsiemlak.com/izmir-menderes-gumuldur-inonu-kiralik/daire/2080-2158,5,20
Başlık Bulunamadı,"37.000
TL",165 m²,3 + 1,19 Yaşında,2. Kat,https://www.hepsiemlak.com/izmir-konak-barbaros-kiralik/daire/2080-2157,5,21
Başlık Bulunamadı,"33.000
TL",115 m²,2 + 1,25 Yaşında,4. Kat,https://www.hepsiemlak.com/izmir-konak-kilic-reis-kiralik/daire/2080-2156,5,22
Başlık Bulunamadı,"14.000
TL",55 m²,1 + 1,4 Yaşında,2. Kat,https://www.hepsiemlak.com/bolu-merkez-aktas-kiralik/daire/118782-1029,5,23
Başlık Bulunamadı,"12.500
TL",55 m²,1 + 1,6 Yaşında,3. Kat,https://www.hepsiemlak.com/aydin-efeler-orta-kiralik/daire/131814-319,5,24
Başlık Bulunamadı,"20.000
TL",98 m²,2 + 1,4 Yaşında,1. Kat,https://www.hepsiemlak.com/ordu-altinordu-cumhuriyet-kiralik/daire/138991-136,6,1
Başlık Bulunamadı,"40.000
TL",140 m²,3 + 1,18 Yaşında,1. Kat,https://www.hepsiemlak.com/ankara-cankaya-oguzlar-kiralik/daire/2646-1165,6,2
Başlık Bulunamadı,"43.000
TL",140 m²,3 + 1,15 Yaşında,9. Kat,https://www.hepsiemlak.com/ankara-yenimahalle-kardelen-kiralik/daire/8970-1144,6,3
Başlık Bulunamadı,"18.000
TL",55 m²,1 + 1,Sıfır Bina,2. Kat,https://www.hepsiemlak.com/balikesir-bandirma-yeni-kiralik/daire/126650-306,6,4
Başlık Bulunamadı,"14.000
TL",90 m²,2 + 1,30 Yaşında,4. Kat,https://www.hepsiemlak.com/balikesir-bandirma-17-eylul-kiralik/daire/126650-293,6,5
Başlık Bulunamadı,"30.000
TL",140 m²,3 + 1,15 Yaşında,En Üst Kat,https://www.hepsiemlak.com/mugla-fethiye-patlangic-kiralik/daire/137711-842,6,6
Başlık Bulunamadı,"45.000
TL",65 m²,2 + 1,10 Yaşında,Ara Kat,https://www.hepsiemlak.com/istanbul-sisli-mesrutiyet-kiralik/daire/70981-1066,6,7
Başlık Bulunamadı,"33.000
TL",130 m²,3 + 1,30 Yaşında,6. Kat,https://www.hepsiemlak.com/ankara-cankaya-sehit-cengiz-karaca-kiralik/daire/12676-2538,6,8
Başlık Bulunamadı,"26.000
TL",115 m²,3 + 1,15 Yaşında,Yüksek Giriş,https://www.hepsiemlak.com/ankara-cankaya-ata-kiralik/daire/12676-2574,6,9
Başlık Bulunamadı,"12.500
TL",85 m²,2 + 0,5 Yaşında,3. Kat,https://www.hepsiemlak.com/burdur-merkez-fevzi-cakmak-kiralik/daire/135640-93,6,10
Başlık Bulunamadı,"37.500
TL",60 m²,1 + 1,10 Yaşında,4. Kat,https://www.hepsiemlak.com/istanbul-besiktas-turkali-kiralik/daire/71428-1763,6,11
Başlık Bulunamadı,"16.500
TL",40 m²,Stüdyo,20 Yaşında,3. Kat,https://www.hepsiemlak.com/istanbul-sisli-kustepe-kiralik/daire/71428-1765,6,12
Başlık Bulunamadı,"18.000
TL",95 m²,2 + 1,30 Yaşında,Çatı Katı,https://www.hepsiemlak.com/izmir-konak-altintas-kiralik/daire/125039-450,6,13
Başlık Bulunamadı,"18.000
TL",170 m²,3 + 1,11 Yaşında,2. Kat,https://www.hepsiemlak.com/burdur-merkez-fevzi-cakmak-kiralik/daire/97973-514,6,14
