,Ürün,Grup,Ağırlık,Group_Number,Ana Grup
16,Ayçiçek Yağı,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",0.009991069292399303,20,Gıda ve alkolsüz içecekler
17,Ağız ve Diş Bakımı Ürünleri,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0015380945053394277,135,Çeşitli mal ve hizmetler
18,Badana ve Boya Malzemeleri,Konutun bakım ve onarımı için malzemeler,0.003983645602691232,54,Konut
19,Badem İçi,Kuru meyve ve sert kabuklu yemişler,0.0004971761700260228,22,Gıda ve alkolsüz içecekler
20,Baharat,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.0015965886289971308,31,Gıda ve alkolsüz içecekler
21,Baklava,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.004218602251112662,4,Gıda ve alkolsüz içecekler
22,Bal,"Reçel, marmelat, bal vb. ürünler",0.0014615251828170744,28,Gıda ve alkolsüz içecekler
23,Balık,Taze balık,0.004073461810199498,12,Gıda ve alkolsüz içecekler
24,Banka ile Para Havale Ücreti,Başka yerde sınıflandırılmayan diğer mali hizmetler (para havale ücreti vb.),5.8794904702133595e-05,143,Çeşitli mal ve hizmetler
25,Battaniye,Ev tekstili,0.0001997437770259819,64,Ev eşyası
26,Bebek Arabası,Başka yerde sınıflandırılmamış diğer kişisel aksesuarlar,0.00141816125484537,138,Çeşitli mal ve hizmetler
27,Bebek Bezi,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.004444278785131026,135,Çeşitli mal ve hizmetler
28,Bebek Pijaması,Bebek giyim,0.0003862607829288704,46,Giyim ve ayakkabı
29,Bebek Sütü (Toz Karışım),Un ve diğer tahıllar,0.0010883796477187233,2,Gıda ve alkolsüz içecekler
30,Bebek Tulumu,Bebek giyim,0.00039453778141899476,46,Giyim ve ayakkabı
31,Bebek İç Çamaşırı,Bebek giyim,0.0005720204303432465,46,Giyim ve ayakkabı
32,Belediye Otobüs Ücreti,Otobüs ile şehir içi yolcu taşımacılığı,0.002035597078649767,99,Ulaştırma
33,Benzin,"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",0.011902371861850773,94,Ulaştırma
34,Beyaz Lahana,Taze sebzeler (patates hariç),0.0005726356201989163,23,Gıda ve alkolsüz içecekler
35,Beyaz Peynir,Peynir,0.008487862928111723,16,Gıda ve alkolsüz içecekler
36,Bilgisayar,Bilgisayar ve ekipmanları,0.0017167482483091661,109,Eğlence ve kültür
37,Bilgisayar Ekipmanları,Bilgisayar ve ekipmanları,0.0009490141244224206,109,Eğlence ve kültür
38,Bisiklet,Bisikletler,0.0006722275543164042,92,Ulaştırma
39,Bisküvi,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.0033950564238141587,4,Gıda ve alkolsüz içecekler
40,Bitki ve Meyve Çayı (Poşet),Çay ve bitki çayları,0.00011718691774377374,33,Gıda ve alkolsüz içecekler
41,Bot (Erkek için),Erkek ayakkabısı,0.0007538591284046142,49,Giyim ve ayakkabı
42,Bot (Kadın için),Kadın ayakkabısı,0.0013983562183056677,50,Giyim ve ayakkabı
43,Bot (Çocuk için),Çocuk ve bebek ayakkabısı,0.000605198010608928,51,Giyim ve ayakkabı
44,Bulaşık Bezleri,"Ev ile ilgili diğer temizlik malzemeleri (bulaşık süngeri, çöp torbası vb.)",0.00016550111588790016,78,Ev eşyası
